IMIĘ_DRUGIE,PŁEĆ,LICZBA_WYSTĄPIEŃ
JAN,MĘŻCZYZNA,653631
PIOTR,MĘŻCZYZNA,607339
STANISŁAW,MĘŻCZYZNA,469513
ANDRZEJ,MĘŻCZYZNA,417428
PAWEŁ,MĘŻCZYZNA,402916
JÓZEF,MĘŻCZYZNA,401767
KRZYSZTOF,MĘŻCZYZNA,329758
ADAM,MĘŻCZYZNA,282679
TOMASZ,MĘŻCZYZNA,252917
MAREK,MĘŻCZYZNA,250961
MICHAŁ,MĘŻCZYZNA,234778
JERZY,MĘŻCZYZNA,203445
GRZEGORZ,MĘŻCZYZNA,197465
WOJCIECH,MĘŻCZYZNA,192448
MARCIN,MĘŻCZYZNA,188766
KAZIMIERZ,MĘŻCZYZNA,179804
TADEUSZ,MĘŻCZYZNA,171455
ŁUKASZ,MĘŻCZYZNA,171157
MARIAN,MĘŻCZYZNA,159019
ANTONI,MĘŻCZYZNA,157750
FRANCISZEK,MĘŻCZYZNA,152426
ZBIGNIEW,MĘŻCZYZNA,137785
JAKUB,MĘŻCZYZNA,133661
ROBERT,MĘŻCZYZNA,129349
RYSZARD,MĘŻCZYZNA,128446
JACEK,MĘŻCZYZNA,126648
HENRYK,MĘŻCZYZNA,123418
MATEUSZ,MĘŻCZYZNA,117527
JANUSZ,MĘŻCZYZNA,111874
MACIEJ,MĘŻCZYZNA,109223
WŁADYSŁAW,MĘŻCZYZNA,108068
KAROL,MĘŻCZYZNA,105328
MARIUSZ,MĘŻCZYZNA,98630
RAFAŁ,MĘŻCZYZNA,96141
ROMAN,MĘŻCZYZNA,90708
DARIUSZ,MĘŻCZYZNA,89632
ALEKSANDER,MĘŻCZYZNA,85872
SEBASTIAN,MĘŻCZYZNA,83506
STEFAN,MĘŻCZYZNA,75555
EDWARD,MĘŻCZYZNA,71822
MIROSŁAW,MĘŻCZYZNA,69786
ARTUR,MĘŻCZYZNA,69115
KAMIL,MĘŻCZYZNA,67829
MIECZYSŁAW,MĘŻCZYZNA,66877
DAWID,MĘŻCZYZNA,62417
SŁAWOMIR,MĘŻCZYZNA,61734
WIESŁAW,MĘŻCZYZNA,60913
DANIEL,MĘŻCZYZNA,60643
SZYMON,MĘŻCZYZNA,60463
MIKOŁAJ,MĘŻCZYZNA,59024
JAROSŁAW,MĘŻCZYZNA,58448
DOMINIK,MĘŻCZYZNA,56531
CZESŁAW,MĘŻCZYZNA,54765
LESZEK,MĘŻCZYZNA,54397
ZDZISŁAW,MĘŻCZYZNA,54036
BOGDAN,MĘŻCZYZNA,52412
PATRYK,MĘŻCZYZNA,51527
DAMIAN,MĘŻCZYZNA,51157
WALDEMAR,MĘŻCZYZNA,49077
ZYGMUNT,MĘŻCZYZNA,48987
WIKTOR,MĘŻCZYZNA,46605
PRZEMYSŁAW,MĘŻCZYZNA,45112
SYLWESTER,MĘŻCZYZNA,43438
KONRAD,MĘŻCZYZNA,42926
EUGENIUSZ,MĘŻCZYZNA,42063
ARKADIUSZ,MĘŻCZYZNA,38810
KACPER,MĘŻCZYZNA,38257
BOGUSŁAW,MĘŻCZYZNA,36278
BARTŁOMIEJ,MĘŻCZYZNA,34544
KRYSTIAN,MĘŻCZYZNA,32224
ADRIAN,MĘŻCZYZNA,31872
FILIP,MĘŻCZYZNA,31482
WŁODZIMIERZ,MĘŻCZYZNA,30264
WITOLD,MĘŻCZYZNA,30104
BRONISŁAW,MĘŻCZYZNA,29899
MAKSYMILIAN,MĘŻCZYZNA,29630
SZCZEPAN,MĘŻCZYZNA,29564
IRENEUSZ,MĘŻCZYZNA,28397
BARTOSZ,MĘŻCZYZNA,27598
WACŁAW,MĘŻCZYZNA,27287
BOLESŁAW,MĘŻCZYZNA,26749
LEON,MĘŻCZYZNA,25276
ZENON,MĘŻCZYZNA,25182
HUBERT,MĘŻCZYZNA,23248
IGNACY,MĘŻCZYZNA,22713
JULIAN,MĘŻCZYZNA,22577
RADOSŁAW,MĘŻCZYZNA,21951
LUDWIK,MĘŻCZYZNA,20737
GABRIEL,MĘŻCZYZNA,20035
BERNARD,MĘŻCZYZNA,19503
CEZARY,MĘŻCZYZNA,17565
FELIKS,MĘŻCZYZNA,17247
NORBERT,MĘŻCZYZNA,15655
EDMUND,MĘŻCZYZNA,15511
LECH,MĘŻCZYZNA,14397
LUCJAN,MĘŻCZYZNA,14064
ALOJZY,MĘŻCZYZNA,12866
WINCENTY,MĘŻCZYZNA,12623
OSKAR,MĘŻCZYZNA,12579
EMIL,MĘŻCZYZNA,12176
BŁAŻEJ,MĘŻCZYZNA,11332
BOGUMIŁ,MĘŻCZYZNA,10746
WALENTY,MĘŻCZYZNA,10361
SEWERYN,MĘŻCZYZNA,10071
IGOR,MĘŻCZYZNA,9908
MARIA,MĘŻCZYZNA,9857
MIŁOSZ,MĘŻCZYZNA,9076
TEODOR,MĘŻCZYZNA,8596
ROMUALD,MĘŻCZYZNA,8442
BENEDYKT,MĘŻCZYZNA,8303
GERARD,MĘŻCZYZNA,8017
JOACHIM,MĘŻCZYZNA,7996
ERYK,MĘŻCZYZNA,7952
ALFRED,MĘŻCZYZNA,7837
ALBERT,MĘŻCZYZNA,7351
AUGUSTYN,MĘŻCZYZNA,7205
FLORIAN,MĘŻCZYZNA,7199
MARCEL,MĘŻCZYZNA,6862
JULIUSZ,MĘŻCZYZNA,6857
OLIWIER,MĘŻCZYZNA,6697
NIKODEM,MĘŻCZYZNA,6601
KONSTANTY,MĘŻCZYZNA,6373
LEONARD,MĘŻCZYZNA,6274
REMIGIUSZ,MĘŻCZYZNA,5903
ALAN,MĘŻCZYZNA,5405
WAWRZYNIEC,MĘŻCZYZNA,5314
ERNEST,MĘŻCZYZNA,5258
KAJETAN,MĘŻCZYZNA,5181
LESŁAW,MĘŻCZYZNA,5168
KSAWERY,MĘŻCZYZNA,5066
FABIAN,MĘŻCZYZNA,4791
TYMOTEUSZ,MĘŻCZYZNA,4252
RAJMUND,MĘŻCZYZNA,4192
TEOFIL,MĘŻCZYZNA,4139
RUDOLF,MĘŻCZYZNA,4037
HIERONIM,MĘŻCZYZNA,4006
WILHELM,MĘŻCZYZNA,3797
EMANUEL,MĘŻCZYZNA,3752
CYPRIAN,MĘŻCZYZNA,3714
FRYDERYK,MĘŻCZYZNA,3697
GUSTAW,MĘŻCZYZNA,3594
KLAUDIUSZ,MĘŻCZYZNA,3466
LEOPOLD,MĘŻCZYZNA,3464
BRUNON,MĘŻCZYZNA,3460
OLAF,MĘŻCZYZNA,3446
ALEXANDER,MĘŻCZYZNA,3388
ROCH,MĘŻCZYZNA,3276
KLEMENS,MĘŻCZYZNA,3230
MARCELI,MĘŻCZYZNA,3182
GRACJAN,MĘŻCZYZNA,3083
IZYDOR,MĘŻCZYZNA,3003
ALBIN,MĘŻCZYZNA,2888
MICHAEL,MĘŻCZYZNA,2668
BORYS,MĘŻCZYZNA,2607
ALFONS,MĘŻCZYZNA,2600
ADOLF,MĘŻCZYZNA,2592
WALERIAN,MĘŻCZYZNA,2579
TOBIASZ,MĘŻCZYZNA,2516
DAVID,MĘŻCZYZNA,2395
BENIAMIN,MĘŻCZYZNA,2358
KORNEL,MĘŻCZYZNA,2263
JĘDRZEJ,MĘŻCZYZNA,2219
SAMUEL,MĘŻCZYZNA,2214
NATAN,MĘŻCZYZNA,2168
BOHDAN,MĘŻCZYZNA,2154
BRUNO,MĘŻCZYZNA,2149
ZYGFRYD,MĘŻCZYZNA,2126
JOHN,MĘŻCZYZNA,2115
AMADEUSZ,MĘŻCZYZNA,2018
SERGIUSZ,MĘŻCZYZNA,2005
ALEKSY,MĘŻCZYZNA,1992
OLGIERD,MĘŻCZYZNA,1955
PAUL,MĘŻCZYZNA,1944
PETER,MĘŻCZYZNA,1908
KUBA,MĘŻCZYZNA,1873
AUGUST,MĘŻCZYZNA,1838
MARTIN,MĘŻCZYZNA,1832
ERWIN,MĘŻCZYZNA,1824
MAURYCY,MĘŻCZYZNA,1771
ROLAND,MĘŻCZYZNA,1692
JAMES,MĘŻCZYZNA,1660
IWO,MĘŻCZYZNA,1632
WALTER,MĘŻCZYZNA,1624
JOSEPH,MĘŻCZYZNA,1620
TYMON,MĘŻCZYZNA,1574
THOMAS,MĘŻCZYZNA,1556
MIESZKO,MĘŻCZYZNA,1546
EMILIAN,MĘŻCZYZNA,1474
ARIEL,MĘŻCZYZNA,1458
ŁUCJAN,MĘŻCZYZNA,1458
FERDYNAND,MĘŻCZYZNA,1448
HERBERT,MĘŻCZYZNA,1394
ARNOLD,MĘŻCZYZNA,1377
JACENTY,MĘŻCZYZNA,1360
ZIEMOWIT,MĘŻCZYZNA,1330
JEREMI,MĘŻCZYZNA,1285
LONGIN,MĘŻCZYZNA,1275
BOŻYDAR,MĘŻCZYZNA,1252
WIT,MĘŻCZYZNA,1243
DORIAN,MĘŻCZYZNA,1232
TYTUS,MĘŻCZYZNA,1222
EDWIN,MĘŻCZYZNA,1195
PATRICK,MĘŻCZYZNA,1178
BONIFACY,MĘŻCZYZNA,1178
DIONIZY,MĘŻCZYZNA,1170
OLIVIER,MĘŻCZYZNA,1131
DENIS,MĘŻCZYZNA,1077
ANTHONY,MĘŻCZYZNA,1071
WILLIAM,MĘŻCZYZNA,1064
RICHARD,MĘŻCZYZNA,1056
ALEX,MĘŻCZYZNA,1052
JOSEF,MĘŻCZYZNA,1044
NATANIEL,MĘŻCZYZNA,1041
OKTAWIAN,MĘŻCZYZNA,1037
OLIVER,MĘŻCZYZNA,1028
KASPER,MĘŻCZYZNA,1006
ANDREW,MĘŻCZYZNA,1005
CHRISTOPHER,MĘŻCZYZNA,1001
ELIGIUSZ,MĘŻCZYZNA,998
KORDIAN,MĘŻCZYZNA,995
ALEKS,MĘŻCZYZNA,972
KUMAR,MĘŻCZYZNA,956
IDZI,MĘŻCZYZNA,942
WERNER,MĘŻCZYZNA,938
MAKSYM,MĘŻCZYZNA,883
KOSMA,MĘŻCZYZNA,878
GINTER,MĘŻCZYZNA,854
SINGH,MĘŻCZYZNA,822
CHRISTIAN,MĘŻCZYZNA,814
KRYSPIN,MĘŻCZYZNA,813
CYRYL,MĘŻCZYZNA,810
EUZEBIUSZ,MĘŻCZYZNA,810
KORNELIUSZ,MĘŻCZYZNA,808
ANTONIO,MĘŻCZYZNA,798
ANDREAS,MĘŻCZYZNA,783
MARK,MĘŻCZYZNA,763
PATRYCJUSZ,MĘŻCZYZNA,760
HELMUT,MĘŻCZYZNA,759
ELIASZ,MĘŻCZYZNA,755
AURELIUSZ,MĘŻCZYZNA,739
ANATOL,MĘŻCZYZNA,738
MANUEL,MĘŻCZYZNA,734
LECHOSŁAW,MĘŻCZYZNA,730
OLIWER,MĘŻCZYZNA,726
JEREMIASZ,MĘŻCZYZNA,705
BAZYLI,MĘŻCZYZNA,702
